date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:43	119449/119449	---M-Z	200	added ('OK')	text/html	etag:W/%22668ba4f2-1d299%22	https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html	(from )
21:03:43	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22667dfbb1-239b%22	https://aziz5155.github.io/robots.txt		(from )
21:03:44	137307/137307	---M-Z	200	added ('OK')	text/css	etag:W/%22668ba4f2-2185b%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/710hicIoD5Lbff5.css?AUIClients/AmazonRTL	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/710hicIoD5Lbff5bff5.css	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:44	60911/60911	---M-Z	200	added ('OK')	text/css	etag:W/%22668ba4f2-edef%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css%2c51a-Srr-vTL.css_7e0c.css?AUIClients/AuthenticationPortalAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/01SdjaY0ZsL._RC_31jdWD+JB+L.css,51a-Srr-vTL.css_7e0c7e0c.css	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:44	4710/4710	---M-Z	200	added ('OK')	text/css	etag:W/%22668ba4f2-1266%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css?AUIClients/CVFAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6c8b6.css	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:44	521/521	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-209%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/01wGDSlxwdLf98e.js?AUIClients/AuthenticationPortalInlineAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/01wGDSlxwdLf98ef98e.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:44	21896/21896	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-5588%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/413YGgErICL088f.js?AUIClients/CVFAssets&uJU2Io3m	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/413YGgErICL088f088f.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:45	331204/331204	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-50dc4%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/8150jbgvn9Lf1d7.js?AUIClients/SiegeClientSideEncryptionAUI	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/8150jbgvn9Lf1d7f1d7.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:45	14537/14537	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-38c9%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/31jdfgcsPAL5973.js?AUIClients/AmazonUIFormControlsJS	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/31jdfgcsPAL59735973.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:45	180859/180859	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-2c27b%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/71KpCrHpq0L99db.js?AUIClients/IdentityWebAuthnAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/71KpCrHpq0L99db99db.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:45	59624/59624	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-e8e8%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/51RddlGAZmLfef7.js?AUIClients/IdentityJsCommonAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/51RddlGAZmLfef7fef7.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:46	262914/262914	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-40302%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/8177uTcYaeLac85.js?AUIClients/FWCIMAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/8177uTcYaeLac85ac85.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:46	1451151/1451151	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-16248f%22	https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/A1bfdSKFkcLa250.js?AUIClients/ACICAssets	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/A1bfdSKFkcLa250a250.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:46	2073/2073	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668ba4f2-819%22	https://aziz5155.github.io/amazon6/static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninEU.js	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/static.siege-amazon.com/prod/profiles/AuthenticationPortalSigninEU.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:46	23/23	---M--	200	added ('OK')	application/javascript	etag:%22668ba4f2-17%22	https://aziz5155.github.io/amazon6/m.media-amazon.com/images/G/01/csm/showads.v2fb02.js?category=ad&adstype=-ad-column-&ad_size=-housead-	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/m.media-amazon.com/images/G/01/csm/showads.v2fb02fb02.js	(from https://aziz5155.github.io/amazon6/file/C_/My%20Web%20Site/amazon5/www.amazon.sa/ap/signin9720.html)
21:03:47	3516/3516	---M--	200	added ('OK')	image/png	etag:%22668ba4f2-dbc%22	https://aziz5155.github.io/amazon6/m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	C:/My%20Web%20Sites/amazon7/aziz5155.github.io/amazon6/m.media-amazon.com/images/S/sash/Pq46CmXZMTyTAdQ.png	(from https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css?AUIClients/CVFAssets)
21:03:47	592/592	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Dec%202020%2006:33:08%20GMT	https://m.media-amazon.com/images/S/sash/bFjL-3p8JvQ2T9J.png	C:/My%20Web%20Sites/amazon7/m.media-amazon.com/images/S/sash/bFjL-3p8JvQ2T9J.png	(from https://aziz5155.github.io/amazon6/images-eu.ssl-images-amazon.com/images/I/21N2V6fmOuLc8b6.css?AUIClients/CVFAssets)
